id,name,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_location,host_is_superhost,host_response_rate,host_acceptance_rate,availability_365,reviews_per_month,calculated_host_listings_count,bathrooms
304904,bedroom with your own bath,Prenzlauer Berg Nordwest,52.55381,13.40553,Private room,2,1.0,1.0,35.0,25,500,302,4.95,4.96,4.8,False,,100.0,93,1.83,1,1.0
306312,LOVINGLY RESTORED 100qm APARTMENT,Prenzlauer Berg Südwest,52.53961,13.41951,Entire home/apt,4,2.0,3.0,172.0,4,365,377,4.87,4.87,4.94,True,100.0,100.0,221,2.3,1,1.0
311703,Elegant 4 Room Apartment with 2 Bathrooms,Schöneberg-Nord,52.496707916259766,13.356289863586426,Entire home/apt,8,3.0,5.0,306.0,2,90,352,4.86,4.8,4.85,True,100.0,100.0,281,2.17,1,2.0
320279,STUDIO NEAR KASTANIENALLE,Brunnenstr. Süd,52.53164,13.40554,Entire home/apt,2,1.0,2.0,144.0,6,30,104,4.84,4.72,4.97,True,100.0,96.0,67,0.69,1,1.0
321295,Beautiful 1-room apartment,Friedenau,52.46353,13.34404,Entire home/apt,2,1.0,1.0,50.0,2,1125,422,4.75,4.88,4.59,False,100.0,98.0,229,2.61,2,1.0
321308,Schönes Apartment in Berlin,Friedenau,52.46411,13.34383,Entire home/apt,2,1.0,2.0,60.0,2,1125,172,4.78,4.89,4.68,False,100.0,98.0,245,1.06,2,1.0
321378,Designer Top-Floor Flat / 2 Roof Terraces in Mitte,Brunnenstr. Süd,52.53392,13.40503,Entire home/apt,7,1.0,3.0,161.0,1,1125,292,4.58,4.54,4.87,False,90.0,96.0,306,1.77,3,1.0
322463,Great value studio in Prenzlauer Berg. StayBearlin,Prenzlauer Berg Nord,52.54094,13.43602,Entire home/apt,4,0.0,2.0,140.0,3,200,503,4.64,4.71,4.63,True,100.0,99.0,342,3.03,10,1.0
322520,Sunny Garden apt in Prenzlauer Berg by StayBearlin,Prenzlauer Berg Nord,52.5429,13.43628,Entire home/apt,4,0.0,2.0,146.0,3,200,506,4.66,4.79,4.58,True,100.0,99.0,335,3.06,10,1.0
323259,Dreibettzimmer mit Balkon 1.2 (1. Etage),Neuköllner Mitte/Zentrum,52.48348,13.42909,Private room,3,1.0,3.0,62.0,2,60,322,4.37,4.28,4.43,False,100.0,100.0,6,1.97,7,1.0
335273,Cool Design Apartment in Berlin,Prenzlauer Berg Südwest,52.5376,13.41004,Entire home/apt,2,1.0,1.0,60.0,92,666,11,4.8,4.73,4.82,False,,,266,0.07,1,1.0
341910,Top floor apartment in Berlin,Südliche Friedrichstadt,52.49885,13.40021,Entire home/apt,5,1.0,6.0,85.0,2,1125,490,4.5,4.68,4.56,True,100.0,97.0,323,2.97,1,1.0
344856,Too good to be true - Berlin Friedrichshain !,Frankfurter Allee Süd FK,52.5135,13.45802,Entire home/apt,2,1.0,1.0,84.0,1,14,543,4.92,4.94,4.96,True,100.0,96.0,295,3.85,2,1.0
344986,Sunny Cosy Prenzlauer Berg Berlin,Prenzlauer Berg Südwest,52.53754,13.41968,Private room,2,1.0,2.0,91.0,2,14,275,4.96,4.94,4.96,True,100.0,100.0,7,1.73,2,1.0
345373,Loft apartment near TU and HdK,Otto-Suhr-Allee,52.51837,13.31841,Entire home/apt,2,1.0,1.0,62.0,92,730,6,4.0,4.0,4.33,False,100.0,80.0,219,0.05,1,1.0
352998,TOP LOCATION City Rooms near Kudamm,Neue Kantstraße,52.50623,13.30163,Private room,2,1.0,1.0,30.0,92,123,55,4.91,4.93,4.96,True,100.0,0.0,292,0.34,1,1.0
355227,Il Nido - Berlin's Mitte for 1-2,Moabit Ost,52.52332,13.35737,Entire home/apt,2,1.0,2.0,56.0,92,400,1,0.0,5.0,5.0,False,,,358,0.01,1,1.0
355494,2-room-holiday-apartment,Blankenburg/Heinersdorf/Märchenland,52.57917,13.44359,Entire home/apt,6,2.0,6.0,59.0,3,365,174,4.45,4.57,4.06,True,100.0,60.0,282,1.18,1,1.0
362701,Gemütliches Apartment mit Vogelzwitschern,nördliche Luisenstadt,52.5028,13.4374,Entire home/apt,2,1.0,1.0,116.0,5,28,467,4.92,4.97,4.86,True,100.0,100.0,310,2.85,1,1.0
363454,Apartment Berlin Kreuzberg,Tempelhofer Vorstadt,52.49356460571289,13.412236213684082,Entire home/apt,4,1.0,1.0,120.0,5,1125,413,4.88,4.85,4.91,True,100.0,99.0,282,2.58,2,1.0
402826,20th floor loft with breathtaking views in Mitte,Regierungsviertel,52.51133,13.3951,Entire home/apt,2,1.0,1.0,172.0,4,30,16,4.94,4.88,4.94,False,100.0,100.0,76,0.1,1,1.0
408756,ZAZA - APARTMENT PRENZLAUER BERG,Prenzlauer Berg Südwest,52.53916,13.41008,Entire home/apt,6,2.0,3.0,100.0,2,700,410,4.85,4.92,4.91,True,,91.0,0,2.57,1,1.0
415218,Apartment in Prime Location – Perfect for Couples,Brunnenstr. Nord,52.54167,13.37285,Entire home/apt,2,1.0,2.0,49.0,187,365,11,4.55,4.5,4.27,False,,,276,0.08,1,1.0
421236,2 Zimmer Wohnung im Grünen von Berlin,Zehlendorf  Südwest,52.43663,13.21023,Entire home/apt,2,1.0,1.0,85.0,4,180,21,4.76,4.86,4.62,True,,83.0,300,0.17,1,1.0
425411,Nice vacation apartment in Berlin-Mitte,Brunnenstr. Süd,52.52971,13.38907,Entire home/apt,4,1.0,2.0,105.0,4,30,430,4.85,4.9,4.89,True,100.0,98.0,221,3.97,2,1.0
425487,Nice and quiet apartment in Berlin-Mitte,Brunnenstr. Süd,52.52961,13.38904,Entire home/apt,5,1.0,3.0,115.0,7,30,323,4.84,4.85,4.88,True,100.0,98.0,171,1.98,2,1.0
446975,Coach House with a little garden,Helmholtzplatz,52.54116,13.41449,Entire home/apt,2,1.0,2.0,65.0,3,14,293,4.91,4.94,4.96,True,100.0,100.0,21,1.92,1,1.0
456902,Urban Apartment Berlin,Tempelhofer Vorstadt,52.49257,13.41091,Entire home/apt,4,1.0,2.0,95.0,2,62,596,4.91,4.87,4.87,True,100.0,100.0,209,3.73,1,1.0
488161,Stylish Apartment in Schillerkiez,Schillerpromenade,52.47919,13.42538,Entire home/apt,4,1.0,1.0,101.0,3,180,235,4.77,4.73,4.77,False,100.0,100.0,307,1.46,1,1.0
493539,Spend the night in the oldest house in Berlin!,Alexanderplatz,52.5151,13.41369,Entire home/apt,2,1.0,2.0,125.0,92,364,292,4.81,4.96,4.84,False,,,365,2.43,2,1.0
499342,"Bright & central, registration & long therm poss.",Brunnenstr. Süd,52.53609819909791,13.37822039816644,Entire home/apt,2,0.0,1.0,65.0,92,365,372,4.75,4.86,4.65,True,100.0,71.0,278,2.33,2,1.0
499353,"Central & homy, registration & long therm poss.",Brunnenstr. Süd,52.53608,13.37843,Entire home/apt,2,1.0,1.0,65.0,92,365,343,4.83,4.86,4.66,True,100.0,71.0,297,2.16,2,1.0
502598,"Casa Marfisa: great location, Mitte",Brunnenstr. Süd,52.53325,13.40217,Entire home/apt,4,1.0,2.0,86.0,92,900,6,5.0,5.0,5.0,False,,,0,0.04,2,1.0
504259,AMAZING APARTMENT 1 - TOP LOCATION,Helmholtzplatz,52.54407,13.42201,Entire home/apt,12,4.0,14.0,373.0,3,1125,382,4.93,4.9,4.93,True,100.0,90.0,309,2.36,3,2.0
511935,high standard 170sqm rooftop w/2ter in Schöneberg,Schöneberg-Süd,52.48916,13.35058,Entire home/apt,4,2.0,2.0,259.0,4,90,96,4.96,4.89,4.94,False,100.0,17.0,332,0.6,2,2.5
512476,"Modern apartment, 4 people in Tempe",Tempelhof,52.4568,13.38698,Entire home/apt,4,1.0,1.0,84.0,3,1125,327,4.69,4.83,4.72,True,100.0,99.0,41,2.36,1,
523052,Apartment Dusche mit Gartenblick,Rahnsdorf/Hessenwinkel,52.43286,13.70843,Entire home/apt,4,1.0,2.0,211.0,3,1125,20,4.95,4.75,4.85,False,,,321,0.19,1,1.0
533523,Berlin Designer Apartment Marlene,Schöneberg-Süd,52.48207,13.36099,Entire home/apt,2,1.0,1.0,89.0,2,360,495,4.87,4.77,4.77,True,100.0,89.0,310,3.1,1,1.0
533864,"new, stylish, comfortable, center",Alexanderplatz,52.50561957139374,13.42042823702963,Entire home/apt,2,0.0,2.0,136.0,3,30,159,4.91,4.93,4.72,True,100.0,94.0,234,1.0,1,1.0
541569,Apartment near Mauerpark,Prenzlauer Berg Nordwest,52.5475,13.40002,Entire home/apt,4,1.0,2.0,87.0,2,21,409,4.72,4.86,4.67,False,90.0,97.0,195,2.55,1,1.0
542674,Nice room in Berlin Schöneberg,Schöneberg-Nord,52.49081,13.34785,Private room,2,1.0,2.0,51.0,3,10,55,4.87,4.8,4.94,False,100.0,17.0,38,0.34,1,1.0
578821,Apartment Central Nollendorfplatz,Schöneberg-Nord,52.49751663208008,13.349440574645996,Entire home/apt,2,0.0,2.0,31.0,124,333,83,4.51,4.68,4.72,False,100.0,71.0,84,0.53,1,1.0
